idx,Symbol,avg,Date,Open,High,Low,Close,date,time,hour,ampm,ts
1598,,9021.975,,,,,,Sun Jun 16 2019 09:00:00 GMT+0100 (British Summer Time),09-AM,9,AM,
1599,,9130.21,,,,,,Sun Jun 16 2019 08:00:00 GMT+0100 (British Summer Time),08-AM,8,AM,
1600,,9256.365,,,,,,Sun Jun 16 2019 07:00:00 GMT+0100 (British Summer Time),07-AM,7,AM,
1601,,9271.154999999999,,,,,,Sun Jun 16 2019 06:00:00 GMT+0100 (British Summer Time),06-AM,6,AM,
1602,,9150.14,,,,,,Sun Jun 16 2019 05:00:00 GMT+0100 (British Summer Time),05-AM,5,AM,
1603,,8998.555,,,,,,Sun Jun 16 2019 04:00:00 GMT+0100 (British Summer Time),04-AM,4,AM,
1604,,8952.86,,,,,,Sun Jun 16 2019 03:00:00 GMT+0100 (British Summer Time),03-AM,3,AM,
1605,,8921.945,,,,,,Sun Jun 16 2019 02:00:00 GMT+0100 (British Summer Time),02-AM,2,AM,
1606,,8849.58,,,,,,Sun Jun 16 2019 01:00:00 GMT+0100 (British Summer Time),01-AM,1,AM,
1607,,8798.93,,,,,,Sun Jun 16 2019 12:00:00 GMT+0100 (British Summer Time),12-AM,12,AM,
1608,,8803.98,,,,,,Sat Jun 15 2019 23:00:00 GMT+0100 (British Summer Time),11-PM,23,PM,
1609,,8794.045,,,,,,Sat Jun 15 2019 22:00:00 GMT+0100 (British Summer Time),10-PM,22,PM,
1610,,8773.335,,,,,,Sat Jun 15 2019 21:00:00 GMT+0100 (British Summer Time),09-PM,21,PM,
1611,,8783.92,,,,,,Sat Jun 15 2019 20:00:00 GMT+0100 (British Summer Time),08-PM,20,PM,
1612,,8798.720000000001,,,,,,Sat Jun 15 2019 19:00:00 GMT+0100 (British Summer Time),07-PM,19,PM,
1613,,8784.135,,,,,,Sat Jun 15 2019 18:00:00 GMT+0100 (British Summer Time),06-PM,18,PM,
1614,,8798.165,,,,,,Sat Jun 15 2019 17:00:00 GMT+0100 (British Summer Time),05-PM,17,PM,
1615,,8783.105,,,,,,Sat Jun 15 2019 16:00:00 GMT+0100 (British Summer Time),04-PM,16,PM,
1616,,8710.224999999999,,,,,,Sat Jun 15 2019 15:00:00 GMT+0100 (British Summer Time),03-PM,15,PM,
1617,,8644.51,,,,,,Sat Jun 15 2019 14:00:00 GMT+0100 (British Summer Time),02-PM,14,PM,
1618,,8608.244999999999,,,,,,Sat Jun 15 2019 13:00:00 GMT+0100 (British Summer Time),01-PM,13,PM,
1619,,8614.654999999999,,,,,,Sun Jun 16 2019 00:00:00 GMT+0100 (British Summer Time),12-PM,24,PM,
1620,,8630.875,,,,,,Sat Jun 15 2019 11:00:00 GMT+0100 (British Summer Time),11-AM,11,AM,
1621,,8623.82,,,,,,Sat Jun 15 2019 10:00:00 GMT+0100 (British Summer Time),10-AM,10,AM,
1622,,8631.939999999999,,,,,,Sat Jun 15 2019 09:00:00 GMT+0100 (British Summer Time),09-AM,9,AM,
1623,,8651.52,,,,,,Sat Jun 15 2019 08:00:00 GMT+0100 (British Summer Time),08-AM,8,AM,
1624,,8647.055,,,,,,Sat Jun 15 2019 07:00:00 GMT+0100 (British Summer Time),07-AM,7,AM,
1625,,8646.47,,,,,,Sat Jun 15 2019 06:00:00 GMT+0100 (British Summer Time),06-AM,6,AM,
1626,,8628.724999999999,,,,,,Sat Jun 15 2019 05:00:00 GMT+0100 (British Summer Time),05-AM,5,AM,
1627,,8598.34,,,,,,Sat Jun 15 2019 04:00:00 GMT+0100 (British Summer Time),04-AM,4,AM,
1628,,8603.8,,,,,,Sat Jun 15 2019 03:00:00 GMT+0100 (British Summer Time),03-AM,3,AM,
1629,,8596.365,,,,,,Sat Jun 15 2019 02:00:00 GMT+0100 (British Summer Time),02-AM,2,AM,
1630,,8586.985,,,,,,Sat Jun 15 2019 01:00:00 GMT+0100 (British Summer Time),01-AM,1,AM,
1631,,8621.814999999999,,,,,,Sat Jun 15 2019 12:00:00 GMT+0100 (British Summer Time),12-AM,12,AM,
1632,,8635.09,,,,,,Fri Jun 14 2019 23:00:00 GMT+0100 (British Summer Time),11-PM,23,PM,
1633,,8601.900000000001,,,,,,Fri Jun 14 2019 22:00:00 GMT+0100 (British Summer Time),10-PM,22,PM,
1634,,8509.115000000002,,,,,,Fri Jun 14 2019 21:00:00 GMT+0100 (British Summer Time),09-PM,21,PM,
1635,,8410.244999999999,,,,,,Fri Jun 14 2019 20:00:00 GMT+0100 (British Summer Time),08-PM,20,PM,
1636,,8384.325,,,,,,Fri Jun 14 2019 19:00:00 GMT+0100 (British Summer Time),07-PM,19,PM,
1637,,8375.98,,,,,,Fri Jun 14 2019 18:00:00 GMT+0100 (British Summer Time),06-PM,18,PM,
1638,,8350.365000000002,,,,,,Fri Jun 14 2019 17:00:00 GMT+0100 (British Summer Time),05-PM,17,PM,
1639,,8358.35,,,,,,Fri Jun 14 2019 16:00:00 GMT+0100 (British Summer Time),04-PM,16,PM,
1640,,8384.795,,,,,,Fri Jun 14 2019 15:00:00 GMT+0100 (British Summer Time),03-PM,15,PM,
1641,,8393.715,,,,,,Fri Jun 14 2019 14:00:00 GMT+0100 (British Summer Time),02-PM,14,PM,
1642,,8379.09,,,,,,Fri Jun 14 2019 13:00:00 GMT+0100 (British Summer Time),01-PM,13,PM,
1643,,8306.18,,,,,,Sat Jun 15 2019 00:00:00 GMT+0100 (British Summer Time),12-PM,24,PM,
1644,,8266.98,,,,,,Fri Jun 14 2019 11:00:00 GMT+0100 (British Summer Time),11-AM,11,AM,
1645,,8276.105,,,,,,Fri Jun 14 2019 10:00:00 GMT+0100 (British Summer Time),10-AM,10,AM,
1646,,8275.045,,,,,,Fri Jun 14 2019 09:00:00 GMT+0100 (British Summer Time),09-AM,9,AM,
1647,,8256.975,,,,,,Fri Jun 14 2019 08:00:00 GMT+0100 (British Summer Time),08-AM,8,AM,
1648,,8223.6,,,,,,Fri Jun 14 2019 07:00:00 GMT+0100 (British Summer Time),07-AM,7,AM,
1649,,8209.23,,,,,,Fri Jun 14 2019 06:00:00 GMT+0100 (British Summer Time),06-AM,6,AM,
1650,,8221.95,,,,,,Fri Jun 14 2019 05:00:00 GMT+0100 (British Summer Time),05-AM,5,AM,
1651,,8215.58,,,,,,Fri Jun 14 2019 04:00:00 GMT+0100 (British Summer Time),04-AM,4,AM,
1652,,8186.67,,,,,,Fri Jun 14 2019 03:00:00 GMT+0100 (British Summer Time),03-AM,3,AM,
